park,date,time,address,lat,lon
Letterman Park,"Wednesday, June 10th",5:00pm - 7:00pm,"908 Villa Ave, Clovis, CA 93612",36.8196344,-119.7135493
Pasa Tiempo Park,"Wednesday, June 17th",5:00pm - 7:00pm,"3355 Barstow Ave, Clovis, CA 93619",36.8157075,-119.6684578
Dry Creek Park,"Saturday, June 27th",11:00am - 1:00pm,"855 N Clovis Ave, Clovis, CA 93611",36.8651898,-119.7021666
San Gabriel Park,"Wednesday, July 1st",5:00pm - 7:00pm,"730 W San Gabriel Ave, Clovis, CA 93612",36.804092,-119.7253933
Century Park,"Wednesday, July 8th",5:00pm - 7:00pm,"1550 El Paso Ave, Clovis, CA 93611",36.8486493,-119.6896807
Treasure Igmire Park,"Wednesday, July 15th",5:00pm - 7:00pm,"36 N Clovis Ave, Clovis, CA 93612",36.8313177,-119.7000673
Railroad Park,"Saturday, July 25th",11:00am - 1:00pm,"805 N Peach Ave, Clovis, CA 93611",36.8357016,-119.7187096
Sierra Bicentennial Park,"Wednesday, August 5th",5:00pm - 7:00pm,"84 N Sunnyside Ave, Clovis, CA 93611",36.8695213,-119.6929888
Williamsburg Manor Park,"Wednesday, August 12th",5:00pm - 7:00pm,"969 N Citadel Ave, Clovis, CA 93611",36.84842,-119.722229
Pinnacles Park,"Wednesday, August 19th",5:00pm - 7:00pm,"219 W Powers Ave, Clovis, CA 93619",36.8633823,-119.7154762
Loma Vista,"Saturday, August 29th",11:00am - 1:00pm,"2610 Encino Ave, Clovis, CA 93619",36.7874486,-119.6404093
